accommodates,bathrooms,bedrooms,latitude,longitude,room_type,review_scores_rating,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_listings_count,host_response_rate,property_type,neighbourhood,cleanliness_rating,communication_rating,value_rating,cancellation_policy,instant_bookable,host_is_superhost,bathrooms_text,review_scores_accuracy,review_scores_cleanliness,price
4,1.15,3,40.68082,-74.01666,Private room,86,8,25,233,5,7,83.3,Apartment,Bronx,9.0,7.6,9.1,flexible,1,0,1.1 baths,7.7,7.1,298.25
2,1.41,2,40.70328,-73.99102,Entire home/apt,58,10,13,280,38,4,98.4,Apartment,Manhattan,8.9,9.9,8.9,moderate,1,0,1.4 bath,8.2,9.6,258.07
4,1.19,2,40.7006,-74.01601,Entire home/apt,54,7,18,319,17,9,93.3,Apartment,Queens,8.1,7.0,7.9,flexible,1,1,1.2 baths,9.0,8.3,280.97
5,1.13,2,40.69869,-73.99538,Entire home/apt,94,9,28,312,31,4,81.0,House,Brooklyn,7.8,7.7,8.9,flexible,0,0,1.1 shared bath,9.7,9.8,300.0
1,1.54,1,40.70036,-74.02747,Entire home/apt,85,7,25,269,13,4,70.2,Apartment,Brooklyn,9.0,8.9,9.2,moderate,1,1,1.5 bath,8.5,8.1,222.96
4,2.14,3,40.70522,-74.03376,Entire home/apt,58,2,14,332,21,8,97.6,House,Brooklyn,8.5,7.6,7.8,flexible,1,1,2.1 baths,7.5,9.3,300.0
2,2.93,1,40.70462,-73.98666,Entire home/apt,57,1,24,307,10,4,86.8,Apartment,Manhattan,8.4,7.9,8.9,flexible,1,0,2.9 bath,8.2,8.0,292.9
5,2.75,3,40.6982,-73.99245,Entire home/apt,93,5,23,333,41,8,73.3,Condo,Bronx,8.6,9.3,9.9,flexible,0,0,2.8 bath,8.7,9.4,300.0
4,2.75,2,40.70703,-74.00339,Entire home/apt,52,5,21,339,21,6,93.5,Apartment,Staten Island,9.8,9.0,9.1,flexible,1,0,2.8 bath,9.9,8.5,300.0
1,1.35,3,40.6977,-74.00133,Private room,51,10,12,261,42,1,76.9,Apartment,Brooklyn,9.1,8.8,7.1,strict,1,1,1.4 shared bath,7.5,8.1,183.3
1,1.53,3,40.70093,-74.02477,Entire home/apt,91,1,17,288,23,1,71.2,House,Manhattan,8.7,9.4,8.7,moderate,0,0,1.5 bath,8.2,8.3,271.99
3,1.15,3,40.71158,-74.00134,Entire home/apt,73,7,28,332,20,9,74.8,Apartment,Queens,9.0,8.6,7.4,moderate,1,1,1.1 shared bath,9.3,8.8,273.31
3,2.56,3,40.71187,-73.99953,Entire home/apt,73,9,23,253,31,7,74.9,Apartment,Manhattan,9.0,9.9,8.1,flexible,1,0,2.6 shared bath,8.9,7.6,300.0
2,1.14,1,40.71048,-74.00763,Entire home/apt,81,1,17,263,28,7,91.0,House,Manhattan,7.7,7.9,7.8,flexible,1,1,1.1 baths,9.8,9.4,260.09
4,2.11,3,40.68975,-74.00363,Private room,68,7,29,345,42,4,87.4,Apartment,Brooklyn,8.6,8.3,9.2,flexible,1,1,2.1 shared bath,9.4,7.1,300.0
4,1.5,1,40.70426,-74.01588,Entire home/apt,77,7,12,303,33,7,77.0,Apartment,Queens,9.6,9.1,7.2,strict,1,0,1.5 shared bath,7.6,7.2,300.0
3,1.49,1,40.70461,-74.02342,Entire home/apt,98,10,29,300,8,3,74.7,Apartment,Brooklyn,7.2,9.0,7.6,flexible,1,1,1.5 baths,7.6,7.0,291.72
4,2.98,2,40.71768,-73.99861,Private room,76,3,27,281,22,3,82.5,House,Manhattan,9.2,7.7,7.9,strict,1,1,3.0 baths,9.3,9.7,300.0
4,2.51,3,40.70793,-74.01984,Entire home/apt,77,3,20,342,32,10,72.4,Apartment,Brooklyn,8.1,8.6,7.9,moderate,1,0,2.5 shared bath,8.8,7.2,300.0
1,2.67,2,40.69373,-73.99434,Entire home/apt,94,6,18,274,11,3,94.7,House,Manhattan,8.7,7.5,7.7,strict,0,1,2.7 shared bath,8.0,9.7,274.85
3,2.14,3,40.69618,-73.99609,Private room,50,6,28,202,35,6,81.7,Apartment,Staten Island,9.5,7.9,7.1,moderate,1,0,2.1 shared bath,7.8,8.5,255.74
5,2.74,1,40.67457,-73.98574,Shared room,99,9,13,280,41,3,95.0,Apartment,Brooklyn,8.6,8.6,7.8,moderate,0,0,2.7 bath,7.5,8.4,300.0
3,2.29,1,40.69923,-73.99634,Entire home/apt,81,5,20,285,5,4,96.4,Apartment,Brooklyn,7.8,8.4,9.5,flexible,0,0,2.3 bath,7.0,9.4,300.0
5,2.89,1,40.69631,-73.95587,Entire home/apt,62,10,14,343,11,8,80.2,Apartment,Queens,9.2,8.9,9.3,flexible,0,1,2.9 bath,9.2,8.5,300.0
1,1.56,3,40.69475,-74.006,Entire home/apt,50,10,17,333,12,3,87.2,Condo,Brooklyn,9.1,8.1,7.9,moderate,0,1,1.6 baths,9.2,8.7,219.98
2,2.19,3,40.6922,-73.99565,Entire home/apt,88,4,18,358,3,8,76.7,House,Manhattan,7.4,7.5,8.0,strict,1,0,2.2 bath,8.7,8.0,300.0
4,2.38,3,40.71537,-74.01074,Entire home/apt,56,8,17,245,0,5,72.4,House,Manhattan,8.3,8.8,9.8,moderate,1,0,2.4 bath,9.1,8.8,300.0
1,1.79,3,40.67312,-73.9859,Private room,63,8,12,300,7,8,74.1,Apartment,Manhattan,8.9,9.7,8.8,moderate,0,1,1.8 baths,7.3,8.7,221.83
4,2.76,3,40.68731,-73.99904,Entire home/apt,94,3,24,343,6,10,88.9,Condo,Queens,8.7,10.0,9.4,strict,0,0,2.8 shared bath,8.2,8.4,300.0
2,2.96,2,40.72387,-74.02785,Entire home/apt,84,10,16,224,27,1,99.1,House,Brooklyn,9.3,8.2,7.6,flexible,0,0,3.0 shared bath,8.9,7.5,300.0
2,1.99,3,40.70984,-74.01387,Private room,81,8,20,261,36,1,93.8,Apartment,Manhattan,9.6,9.9,8.7,moderate,0,0,2.0 bath,10.0,9.8,274.13
1,1.78,2,40.70306,-74.00391,Entire home/apt,70,2,29,344,15,2,99.5,House,Manhattan,7.9,9.0,7.3,moderate,1,0,1.8 baths,8.7,9.6,242.36
2,1.94,3,40.69995,-74.02033,Private room,79,2,10,357,35,2,95.7,Apartment,Brooklyn,9.4,9.7,9.7,flexible,1,0,1.9 shared bath,7.7,9.1,270.33
5,2.71,3,40.69415,-73.99339,Private room,89,3,13,345,28,7,81.6,House,Manhattan,8.0,7.1,8.9,moderate,0,1,2.7 baths,9.3,7.0,300.0
2,2.29,3,40.68724,-74.02274,Entire home/apt,73,3,27,315,37,9,83.2,Apartment,Staten Island,9.7,7.6,8.2,moderate,0,1,2.3 shared bath,9.7,7.8,275.36
4,1.09,3,40.70368,-74.00469,Private room,72,5,13,337,41,8,79.0,Apartment,Manhattan,7.1,8.6,8.2,moderate,0,0,1.1 shared bath,8.8,7.1,280.22
4,2.08,1,40.708,-74.00609,Private room,97,2,24,274,41,8,88.8,Condo,Queens,8.5,8.0,7.1,flexible,1,0,2.1 baths,9.3,7.1,300.0
4,1.03,1,40.69307,-73.98656,Private room,100,7,22,265,48,3,91.2,Condo,Manhattan,9.1,7.6,8.7,flexible,1,0,1.0 shared bath,9.9,9.7,282.08
4,2.56,2,40.68183,-74.00496,Entire home/apt,58,9,29,291,20,2,85.2,Condo,Manhattan,9.1,7.7,8.3,strict,0,1,2.6 baths,8.1,8.4,300.0
5,1.66,2,40.70665,-73.98894,Private room,81,7,26,285,35,7,95.1,Apartment,Manhattan,7.6,9.9,9.5,flexible,0,0,1.7 shared bath,8.2,9.1,300.0
3,1.94,3,40.70775,-73.9955,Private room,69,10,14,246,47,7,94.4,House,Manhattan,8.3,9.0,9.9,strict,1,0,1.9 bath,8.7,9.9,300.0
1,2.6,3,40.70832,-74.01884,Entire home/apt,54,1,14,200,26,9,89.1,Apartment,Staten Island,8.9,9.8,8.4,flexible,0,0,2.6 bath,9.5,9.1,245.11
4,1.09,3,40.69841,-73.96851,Private room,50,3,30,207,15,3,99.9,Apartment,Manhattan,8.9,9.8,9.5,moderate,1,0,1.1 baths,8.0,9.4,280.27
2,1.32,3,40.67841,-73.9854,Private room,73,1,13,276,33,3,94.6,Apartment,Brooklyn,8.0,7.6,8.9,moderate,1,0,1.3 bath,9.2,9.3,228.05
4,1.8,1,40.68775,-74.01597,Private room,72,6,10,292,45,2,75.5,House,Manhattan,9.8,7.1,9.4,flexible,0,0,1.8 bath,8.8,9.5,300.0
2,1.46,2,40.71286,-74.01755,Private room,96,7,28,357,26,5,77.2,Apartment,Queens,7.4,7.2,8.7,flexible,1,0,1.5 bath,7.1,8.9,244.77
2,1.68,2,40.68649,-73.9834,Private room,97,1,18,278,39,7,96.1,Condo,Queens,9.0,7.7,9.5,strict,0,0,1.7 bath,9.7,8.3,243.34
4,3.0,2,40.707,-73.98815,Entire home/apt,96,1,11,219,29,10,94.5,House,Manhattan,8.6,9.3,7.0,flexible,0,0,3.0 bath,7.8,8.3,300.0
5,2.65,1,40.68979,-73.99149,Entire home/apt,59,3,11,343,29,6,96.5,House,Manhattan,7.3,8.2,8.7,flexible,1,0,2.6 bath,9.5,9.1,300.0
2,2.77,3,40.68878,-74.0161,Entire home/apt,75,8,16,258,10,6,99.2,Condo,Manhattan,7.2,9.4,8.6,moderate,1,0,2.8 bath,8.3,8.4,300.0
2,2.87,1,40.71826,-74.0108,Private room,68,7,13,265,40,7,75.2,House,Brooklyn,9.5,7.4,7.7,flexible,0,1,2.9 baths,7.6,8.7,265.09
4,1.68,1,40.71863,-73.98199,Private room,80,8,11,230,0,9,99.0,Condo,Brooklyn,8.3,9.7,7.5,moderate,1,1,1.7 baths,8.7,9.8,298.1
2,1.59,2,40.70163,-73.99273,Entire home/apt,57,10,28,223,20,5,81.0,Apartment,Manhattan,7.2,9.6,8.4,moderate,1,1,1.6 shared bath,8.7,8.4,257.19
2,1.47,1,40.69515,-74.01263,Entire home/apt,54,6,26,364,12,9,95.6,Condo,Manhattan,9.8,9.9,7.8,moderate,0,0,1.5 shared bath,8.3,7.5,242.54
4,2.66,2,40.71032,-73.98066,Private room,69,5,19,204,34,9,90.9,Condo,Brooklyn,9.8,9.9,8.1,strict,0,1,2.7 shared bath,8.0,7.9,300.0
4,2.36,1,40.6842,-73.97157,Entire home/apt,58,3,26,269,49,9,81.6,Apartment,Staten Island,8.1,7.1,8.8,flexible,1,1,2.4 baths,7.2,7.6,300.0
1,1.47,2,40.71212,-74.00866,Private room,97,8,30,229,40,2,81.4,Apartment,Staten Island,9.4,9.6,9.2,moderate,1,0,1.5 shared bath,7.5,7.2,193.29
5,1.75,2,40.72021,-74.01157,Entire home/apt,59,2,26,348,8,1,98.6,Apartment,Bronx,8.4,7.4,8.2,moderate,0,1,1.8 bath,7.4,8.2,300.0
5,2.01,3,40.70581,-73.97897,Private room,91,2,28,235,38,5,99.8,Apartment,Manhattan,9.4,7.7,9.4,flexible,1,0,2.0 baths,8.6,8.7,300.0
2,2.06,2,40.68837,-73.97687,Entire home/apt,75,10,14,223,25,10,92.6,House,Manhattan,8.9,9.8,8.5,flexible,0,0,2.1 baths,9.0,8.7,300.0
5,2.78,1,40.71525,-73.97718,Entire home/apt,98,4,11,292,50,7,92.5,House,Queens,8.9,9.4,9.2,moderate,1,1,2.8 baths,9.7,9.1,300.0
2,1.76,2,40.70313,-73.99534,Entire home/apt,85,3,30,203,21,7,80.0,House,Bronx,8.8,7.1,7.4,flexible,1,0,1.8 baths,7.4,7.6,270.42
1,2.82,1,40.6986,-74.00884,Private room,91,7,19,282,0,7,80.6,Apartment,Brooklyn,8.8,9.2,8.1,flexible,0,1,2.8 bath,9.9,7.6,217.96
4,1.88,2,40.69031,-73.98755,Entire home/apt,50,6,13,249,23,9,96.5,Condo,Brooklyn,7.9,9.3,7.5,flexible,0,1,1.9 bath,9.6,9.9,300.0
4,2.49,3,40.6886,-74.0061,Entire home/apt,52,6,11,220,17,3,84.8,Apartment,Brooklyn,8.9,8.2,7.1,moderate,0,1,2.5 shared bath,8.1,7.1,300.0
4,2.86,3,40.71153,-74.00698,Entire home/apt,81,3,22,270,43,8,97.4,House,Manhattan,9.6,7.6,8.9,moderate,1,1,2.9 baths,9.0,8.9,300.0
5,2.82,1,40.69924,-73.99843,Private room,65,6,27,349,6,4,90.3,Apartment,Brooklyn,7.7,9.8,7.3,flexible,1,0,2.8 shared bath,9.9,7.6,300.0
1,1.11,2,40.69913,-74.00077,Entire home/apt,57,2,25,232,50,6,97.7,Apartment,Brooklyn,7.4,8.3,8.4,strict,0,0,1.1 bath,8.7,9.4,203.72
5,1.41,1,40.70126,-74.0087,Entire home/apt,86,6,22,227,19,6,72.2,Apartment,Queens,9.7,8.6,8.9,flexible,1,0,1.4 bath,8.8,8.2,300.0
5,1.95,3,40.68048,-74.01703,Entire home/apt,51,5,22,363,10,6,86.2,Condo,Queens,7.5,8.4,8.8,flexible,0,1,1.9 baths,8.5,8.1,300.0
1,1.86,1,40.69978,-74.00408,Private room,54,5,14,250,36,1,85.3,Condo,Queens,9.9,7.7,7.3,moderate,0,0,1.9 baths,9.9,7.6,160.72
1,2.28,1,40.69994,-74.01049,Shared room,54,5,23,234,17,4,84.1,Apartment,Manhattan,8.9,9.6,7.6,flexible,0,0,2.3 bath,7.4,8.5,184.52
1,2.89,2,40.71495,-74.02137,Private room,88,5,24,328,36,10,71.1,Apartment,Queens,8.6,9.4,7.1,moderate,1,1,2.9 baths,8.3,7.9,221.4
1,1.22,3,40.70828,-73.99831,Private room,87,4,11,213,21,4,88.0,Apartment,Manhattan,9.1,7.8,7.4,flexible,0,1,1.2 baths,8.1,9.6,216.29
4,1.9,3,40.68786,-73.99792,Private room,50,8,19,339,14,4,70.4,Apartment,Queens,7.8,9.6,8.1,moderate,1,1,1.9 shared bath,8.2,7.7,300.0
3,1.38,2,40.69607,-73.9896,Entire home/apt,80,3,15,268,48,8,81.7,House,Brooklyn,9.6,10.0,9.6,moderate,0,0,1.4 bath,8.1,8.6,300.0
3,2.79,2,40.71046,-73.99847,Private room,80,6,26,231,36,9,85.7,Apartment,Brooklyn,9.5,9.5,9.6,flexible,1,1,2.8 shared bath,9.1,8.4,300.0
1,2.93,2,40.68697,-74.00157,Entire home/apt,89,6,23,268,30,3,79.8,Apartment,Bronx,7.8,8.0,8.4,moderate,1,1,2.9 shared bath,9.5,10.0,257.34
3,1.96,3,40.71696,-73.98977,Entire home/apt,66,8,20,300,10,8,90.2,Apartment,Bronx,7.6,9.2,7.3,moderate,1,1,2.0 bath,8.9,7.7,300.0
3,1.21,3,40.69959,-73.99841,Entire home/apt,86,1,26,320,20,7,95.0,Apartment,Staten Island,7.6,9.5,9.8,flexible,0,0,1.2 shared bath,8.7,9.1,289.74
1,2.57,2,40.70536,-73.99635,Private room,95,3,17,259,24,8,83.5,Apartment,Brooklyn,7.6,8.1,8.3,flexible,0,1,2.6 bath,7.3,8.7,234.75
3,2.39,1,40.69558,-73.99234,Private room,57,4,20,268,26,10,83.4,Condo,Queens,7.3,7.1,9.0,moderate,0,1,2.4 baths,8.7,8.4,253.48
5,1.71,3,40.69544,-74.00916,Entire home/apt,76,7,23,358,13,5,78.8,Apartment,Brooklyn,8.3,9.5,7.6,strict,1,1,1.7 baths,9.7,9.1,300.0
2,2.77,2,40.69078,-73.98621,Private room,99,9,27,322,8,5,83.0,Apartment,Staten Island,7.2,8.4,9.1,flexible,1,1,2.8 bath,8.5,8.5,270.16
2,2.95,2,40.71537,-74.00008,Entire home/apt,93,4,22,250,37,10,74.7,Apartment,Brooklyn,7.1,8.3,7.0,strict,1,0,3.0 bath,8.8,7.4,300.0
1,2.12,1,40.70592,-74.00224,Shared room,59,9,25,296,37,7,91.8,Apartment,Queens,7.1,7.6,8.5,strict,1,1,2.1 shared bath,7.2,8.3,160.25
4,2.13,2,40.69034,-73.98639,Shared room,79,1,12,284,25,4,70.1,Condo,Bronx,7.7,9.4,7.9,flexible,0,0,2.1 shared bath,9.7,7.7,300.0
1,1.6,1,40.70706,-74.00778,Private room,91,1,17,245,2,2,91.7,Apartment,Brooklyn,8.1,8.1,9.2,moderate,1,1,1.6 bath,7.2,7.8,185.22
4,2.17,1,40.7094,-74.00661,Private room,72,10,22,281,11,8,89.0,House,Bronx,9.8,8.8,8.4,flexible,0,1,2.2 bath,9.1,8.0,294.74
2,1.88,3,40.71081,-73.99319,Shared room,55,4,28,298,27,10,87.4,Apartment,Bronx,7.3,8.4,7.6,strict,1,0,1.9 shared bath,8.1,9.7,208.78
1,1.6,2,40.70281,-73.99732,Entire home/apt,95,5,21,212,36,1,85.1,Apartment,Manhattan,7.8,9.1,8.3,moderate,0,0,1.6 bath,8.4,8.4,255.47
5,1.13,3,40.70171,-73.95065,Private room,66,1,19,271,25,3,97.4,House,Brooklyn,8.2,8.9,9.4,strict,0,1,1.1 baths,7.1,8.1,300.0
3,1.51,3,40.69069,-73.98496,Entire home/apt,63,2,14,201,42,7,85.7,Apartment,Staten Island,7.4,7.9,9.9,flexible,1,1,1.5 shared bath,9.4,9.2,281.51
4,1.4,3,40.71332,-74.03589,Entire home/apt,90,2,22,299,27,1,73.3,Condo,Manhattan,8.2,9.6,9.4,flexible,0,1,1.4 bath,8.2,8.0,300.0
3,2.08,2,40.70667,-73.99579,Entire home/apt,91,2,10,341,0,5,78.2,Apartment,Brooklyn,8.3,7.6,9.4,flexible,1,1,2.1 shared bath,8.0,9.5,300.0
3,2.2,2,40.70989,-74.02765,Private room,66,10,21,236,28,2,81.2,Apartment,Bronx,9.7,9.0,8.7,flexible,1,0,2.2 bath,7.1,8.4,286.53
1,2.22,2,40.68117,-74.00622,Entire home/apt,52,4,26,214,46,1,75.6,Apartment,Brooklyn,9.4,9.3,8.5,flexible,1,1,2.2 bath,8.4,9.9,249.1
3,1.78,3,40.70957,-73.99736,Entire home/apt,98,2,12,302,40,3,81.1,Condo,Queens,8.1,9.3,8.5,flexible,0,0,1.8 bath,8.5,9.4,300.0
5,1.84,1,40.70025,-74.00691,Entire home/apt,58,9,27,229,26,5,72.1,House,Bronx,8.0,8.6,9.5,moderate,1,1,1.8 bath,9.6,9.5,300.0
3,2.67,3,40.70828,-74.03287,Entire home/apt,83,5,29,298,30,9,82.7,Apartment,Manhattan,9.0,9.4,10.0,flexible,0,1,2.7 baths,8.0,9.2,300.0
1,1.95,1,40.68802,-73.99911,Private room,91,5,11,220,18,1,84.1,Condo,Manhattan,7.1,7.1,8.4,flexible,0,1,1.9 shared bath,9.9,9.5,214.75
5,2.98,2,40.71813,-74.00844,Entire home/apt,64,9,17,283,5,10,72.4,Condo,Queens,8.4,7.2,7.3,flexible,1,0,3.0 bath,8.4,8.7,300.0
2,1.88,2,40.69348,-73.99037,Private room,86,3,12,278,2,1,94.5,House,Brooklyn,8.6,9.6,8.2,moderate,0,0,1.9 bath,9.6,8.5,260.86
3,2.3,3,40.71152,-74.02845,Entire home/apt,84,2,12,349,43,5,91.0,Apartment,Manhattan,9.6,9.8,7.8,flexible,0,0,2.3 shared bath,7.7,9.1,300.0
1,1.1,1,40.69795,-74.01091,Entire home/apt,79,6,30,237,1,9,77.8,Apartment,Queens,9.2,7.6,9.5,moderate,1,1,1.1 baths,8.3,8.7,194.49
2,2.31,2,40.7185,-73.98778,Private room,91,2,17,243,13,8,73.6,Apartment,Staten Island,7.3,7.6,9.7,moderate,0,1,2.3 shared bath,7.6,9.0,249.64
2,2.7,2,40.70298,-74.03345,Entire home/apt,59,7,25,270,3,1,99.0,Condo,Manhattan,7.0,9.2,8.0,moderate,1,0,2.7 shared bath,9.8,8.2,300.0
4,2.88,3,40.71885,-73.99285,Private room,92,8,28,338,25,5,95.7,Apartment,Queens,8.3,8.3,8.2,moderate,1,1,2.9 baths,9.4,7.7,300.0
5,2.99,3,40.6993,-74.01169,Entire home/apt,55,6,19,358,28,9,88.2,Apartment,Queens,7.0,9.1,9.1,flexible,0,1,3.0 baths,8.7,7.4,300.0
3,1.56,3,40.68887,-74.00351,Private room,65,8,28,271,25,6,81.8,Apartment,Queens,9.1,7.1,8.4,moderate,1,1,1.6 shared bath,7.7,9.2,266.49
1,2.15,1,40.70296,-74.01716,Entire home/apt,95,1,25,331,3,10,84.6,Apartment,Brooklyn,8.2,8.5,8.2,strict,1,1,2.1 shared bath,9.3,9.6,237.08
4,1.9,1,40.69867,-74.00471,Entire home/apt,73,8,23,299,28,6,91.9,House,Queens,9.6,9.0,7.5,flexible,1,1,1.9 baths,8.9,7.5,300.0
5,2.13,2,40.69396,-74.01569,Shared room,78,2,27,345,49,9,77.2,Apartment,Manhattan,9.9,8.9,8.4,strict,1,1,2.1 bath,7.8,8.1,300.0
4,1.31,3,40.71243,-74.01838,Entire home/apt,100,6,18,202,33,7,88.9,Apartment,Brooklyn,7.5,8.9,9.6,strict,1,1,1.3 bath,7.7,9.9,300.0
5,2.71,2,40.68647,-73.98787,Entire home/apt,93,9,11,309,28,5,73.6,Apartment,Manhattan,8.6,8.8,9.3,flexible,1,1,2.7 baths,8.6,7.4,300.0
5,2.82,1,40.71912,-74.00202,Entire home/apt,77,9,16,323,19,9,93.4,Apartment,Queens,9.8,8.0,9.6,flexible,0,0,2.8 shared bath,7.7,7.4,300.0
3,1.9,2,40.69815,-73.99638,Entire home/apt,66,4,12,217,23,4,96.3,Condo,Queens,8.3,9.0,7.1,strict,0,0,1.9 baths,9.2,8.3,285.69
5,1.56,2,40.68638,-73.999,Entire home/apt,69,4,26,212,24,5,99.1,Apartment,Brooklyn,7.0,7.8,8.6,strict,1,0,1.6 shared bath,7.4,7.7,300.0
4,1.28,3,40.7039,-73.9807,Private room,93,10,25,324,48,6,95.0,Apartment,Queens,8.0,7.3,8.7,strict,0,1,1.3 bath,9.2,10.0,268.21
5,2.37,2,40.70183,-73.99427,Entire home/apt,90,10,29,267,19,1,95.0,Apartment,Staten Island,7.8,7.0,7.4,strict,1,1,2.4 bath,8.9,9.6,300.0
3,1.62,3,40.69846,-73.99226,Entire home/apt,88,7,12,322,50,10,75.4,Apartment,Staten Island,7.5,8.9,8.1,moderate,0,0,1.6 bath,8.4,8.7,282.5
3,2.82,2,40.6937,-73.98919,Entire home/apt,90,1,14,219,28,5,81.2,House,Manhattan,8.3,8.0,9.4,flexible,1,0,2.8 baths,7.8,9.7,300.0
4,2.34,2,40.71314,-74.01288,Entire home/apt,60,9,13,345,45,2,85.1,Condo,Manhattan,9.7,9.1,7.3,moderate,1,1,2.3 shared bath,8.1,9.3,300.0
2,2.29,1,40.70539,-73.97333,Entire home/apt,68,7,14,333,3,4,90.0,Condo,Queens,9.0,7.9,8.7,flexible,0,1,2.3 baths,9.0,7.2,259.29
2,2.12,1,40.69514,-74.02001,Entire home/apt,73,3,25,217,40,6,77.1,Apartment,Brooklyn,9.2,7.6,7.9,moderate,0,0,2.1 bath,8.7,9.7,256.73
5,1.09,2,40.70398,-73.9956,Entire home/apt,59,8,23,329,18,10,76.1,Condo,Manhattan,8.8,7.1,8.3,flexible,0,1,1.1 bath,9.9,7.7,300.0
1,2.86,2,40.6922,-73.99569,Private room,96,8,25,346,1,8,75.2,Apartment,Manhattan,8.5,9.4,9.3,flexible,0,0,2.9 bath,7.4,8.0,253.36
5,2.26,3,40.70979,-73.96433,Entire home/apt,87,10,26,262,46,3,96.5,House,Brooklyn,9.9,7.3,9.7,flexible,0,0,2.3 bath,9.9,8.4,300.0
4,2.99,1,40.72097,-73.99398,Entire home/apt,69,10,17,287,2,10,75.4,Apartment,Staten Island,8.0,8.8,7.2,flexible,0,0,3.0 shared bath,7.9,9.7,300.0
4,2.07,1,40.71107,-74.01157,Entire home/apt,54,9,26,329,40,5,88.5,Apartment,Brooklyn,7.0,9.0,8.6,flexible,1,0,2.1 baths,8.6,8.5,300.0
4,2.42,2,40.69339,-74.00952,Entire home/apt,94,8,23,301,25,10,73.9,Apartment,Manhattan,9.3,9.3,8.0,strict,1,0,2.4 baths,9.5,9.8,300.0
4,1.11,3,40.69038,-74.0067,Entire home/apt,56,10,24,240,19,2,93.5,Apartment,Brooklyn,8.6,7.6,8.8,flexible,1,0,1.1 bath,7.4,9.9,300.0
4,2.26,1,40.70099,-73.99837,Private room,50,6,22,204,19,6,79.4,House,Manhattan,9.7,8.0,9.3,flexible,1,1,2.3 shared bath,7.2,8.4,300.0
3,2.53,2,40.68391,-73.9972,Private room,63,10,22,256,31,9,90.8,Condo,Brooklyn,9.5,7.0,7.5,flexible,0,0,2.5 baths,9.4,7.4,300.0
2,2.56,2,40.70915,-73.99402,Private room,100,1,14,268,33,1,80.7,Apartment,Brooklyn,9.0,9.2,9.5,moderate,1,0,2.6 bath,9.7,7.5,280.25
4,2.54,2,40.70666,-73.9996,Entire home/apt,71,4,21,251,37,6,92.5,House,Staten Island,7.8,9.9,7.6,flexible,1,0,2.5 shared bath,9.8,9.8,300.0
